;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;P.H.T12;P.H.T3;SBA12_B05.P.H.T12_1;SBA39_E07.P.H.T12_2;SBA60_A07.P.H.T12_1;SB12_A09.P.H.T3_1;SB39_E05.P.H.T3_2;SB60_A05.P.H.T3_1;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
16766940;RNU1-83P;---;0,0463063078284072;2,76063480982966;0,0876196357947371;0,931274257357523;0,998471812968053;-4,91896843063606;0,0463063078284072;2,73028152379729;2,68397521596888;1,49378437883798;2,91414630004764;3,78291389250625;3,85018222089843;1,97584265445866;2,22590077254956;0,647268303634382;0,816496580927726;0,0628544234990201;0,951639556914441;7;0,90229787927028;0,327880125085604;8,8819669997526
16884280;LINC01123//AC013268.5;440894;-0,0200321422588976;5,20963609216236;-0,0875449015799844;0,931332717199697;0,998471812968053;-4,91897175938319;-0,0200321422588976;5,37368354447558;5,39371568673448;5,47474191963425;5,48085694306961;5,16545177072287;5,41865090825251;5,51879579433801;5,24370035761291;0,280247770592969;0,816496580927726;-0,120023233947813;0,907836963176901;7;0,204412618187236;0,327880125085604;8,8819669997526
16977781;LOC100506746//C4orf36;100506746;0,0215141547145605;3,58000973626696;0,0875347984195099;0,931340620293342;0,998471812968053;-4,91897220917184;0,0215141547145605;3,48750911039785;3,46599495568329;4,11192884238805;3,32267124229644;3,02792724650906;3,76133285462467;3,30965819722225;3,32699381520295;0,301015723172219;0,816496580927726;0,100184518754238;0,92300679378052;7;0,26300820702269;0,327880125085604;8,8819669997526
17117869;LOC102724155;102724155;0,0266339828813242;2,63567336054625;0,0874272249657193;0,931424768984398;0,998471812968053;-4,91897699508468;0,0266339828813242;2,53998337766713;2,5133493947858;2,35470276757138;2,90753196634882;2,35771539908117;2,28466059681255;2,41435198272326;2,84103560482159;0,373108421906605;0,816496580927726;0,0770059413434571;0,940773629027407;7;0,423601521772771;0,327880125085604;8,8819669997526
16705151;RP11-388P9.2;---;0,0269048928700482;4,50030636661089;0,0873099339740573;0,931516520119518;0,998471812968053;-4,91898220663128;0,0269048928700482;4,61916681511722;4,59226192224717;5,12689770624146;4,58142169714146;4,14918104196873;4,58674860542645;4,11248396050989;5,07755320080517;0,377409855420606;0,816496580927726;0,0762485718130721;0,94135483802744;7;0,432160613299282;0,327880125085604;8,8819669997526
16973556;LOC100507054//RP11-1398P2.1;100507054;-0,0210845759887297;2,79494311809349;-0,0870751578374846;0,931700177264203;0,998471812968053;-4,9189926173636;-0,0210845759887301;3,0230873066244;3,04417188261313;2,6029991564993;3,44944829093318;3,01681447244071;2,70014851566483;3,29873425541567;3,13363287675888;0,296562497835019;0,816496580927726;-0,102771686973992;0,92102639841084;7;0,251267903330205;0,327880125085604;8,8819669997526
16734303;IFITM10//RP11-295K3.1;402778;0,0226753439124336;3,54047740834278;0,0870542058801046;0,931716567440309;0,998471812968053;-4,9189935450806;0,0226753439124328;3,62732081933965;3,60464547542722;3,66062638364648;3,89438205757623;3,32695401679625;3,47473359812079;3,62062630782278;3,71857652033809;0,319014008375907;0,816496580927726;0,0903443120045099;0,930544385079923;7;0,307396343473259;0,327880125085604;8,8819669997526
16837587;CD300A;11314;-0,0281669296776506;3,13223673169124;-0,086891515829594;0,931843836752848;0,998471812968053;-4,9190007411329;-0,0281669296776497;3,0554335001437;3,08360042982135;3,2006352473009;2,85018188792901;3,11548336520117;3,17539382738238;2,27288097482685;3,80252648725481;0,39701577692814;0,816496580927726;-0,0733468154538279;0,943582011177622;7;0,470331294577694;0,327880125085604;8,8819669997526
17065750;BLK;640;0,0228272248469854;2,31261162289438;0,0866265173566576;0,932051144076997;0,998471812968053;-4,91901243367917;0,0228272248469863;2,19693942522425;2,17411220037727;2,0279058030296;2,03066926029397;2,53224321234919;1,97391375095279;2,24030030211217;2,30812254806684;0,322736356170728;0,816496580927726;0,0884482159542735;0,931997698179928;7;0,316089208332949;0,327880125085604;8,8819669997526
17030176;HLA-G;3135;0,0210353028124475;4,91372057291075;0,0865968424287328;0,93207435897832;0,998471812968053;-4,91901374080773;0,0210353028124475;4,77140149850753;4,75036619569508;4,50244749071658;4,99832962202735;4,81342738277865;4,63900253663298;4,83465947512751;4,77743657532474;0,297503679293115;0,816496580927726;0,101516711597622;0,921986968221959;7;0,25377968644049;0,327880125085604;8,8819669997526
16781729;RP11-998D10.7;---;-0,0189853268460523;2,81852176492698;-0,0865096345494687;0,932142582672082;0,998471812968053;-4,9190175795737;-0,0189853268460523;2,90566261918223;2,92464794602828;2,95648845449306;2,35052825319371;3,40997114985991;2,97540491019404;2,56733622214871;3,23120270574208;0,26878141154439;0,816496580927726;-0,140212712433417;0,892441194067689;7;0,165835046500775;0,327880125085604;8,8819669997526
16738819;MS4A6A;64231;0,0347523364081641;3,67509548965728;0,0864534011228992;0,932186574997077;0,998471812968053;-4,91902005284044;0,0347523364081641;3,51992244339635;3,48517010698819;2,99436203918253;4,9324657763996;2,63293951460692;3,4375419858414;3,53876818251711;3,47920015260605;0,4923200849469;0,816496580927726;0,066188813216499;0,949078233711988;7;0,64305044487736;0,327880125085604;8,8819669997526
16946207;FAIM;55179;0,0234672844806392;2,8235012954597;0,0864030937906928;0,932225931434564;0,998471812968053;-4,91902226410386;0,0234672844806401;2,8118619906982;2,78839470621756;2,81902083607903;2,95864468200363;2,65792045401193;2,5732778622895;3,05580550932856;2,73610074703461;0,332643601660549;0,816496580927726;0,0848853357678367;0,934729310199561;7;0,338591301467649;0,327880125085604;8,8819669997526
16685413;RSPO1;284654;-0,021601205453885;3,36280501217273;-0,0862762454209124;0,932325168271412;0,998471812968053;-4,9190278340295;-0,0216012054538859;3,11907644094133;3,14067764639522;2,5786585670143;3,04564675526691;3,73292400054279;2,95378300221645;2,99191290226607;3,47633703470314;0,306642523286126;0,816496580927726;-0,0953834826197508;0,926683376082441;7;0,277364223541608;0,327880125085604;8,8819669997526
