"","logFC","logCPM","PValue","FDR"
"ENST00000362874",0.61683610216471,8.11862294291489,1.41575599153891e-05,5.24427923626384e-05
"ENST00000459096",0.666775201964663,8.12694337914602,1.68033589333639e-05,6.18081594332126e-05
"ENST00000363098",1.75924389512312,3.67196236699355,2.12171050727213e-05,7.75013699184126e-05
"ENST00000384096",0.923385315775922,4.41540744269898,2.28368188478703e-05,8.28425290619294e-05
"ENST00000410482",0.777909140063013,8.43612398419255,2.31037182929068e-05,8.32366837128013e-05
"ENST00000362808",-0.676185470512031,7.63356827492656,2.55607577989417e-05,9.1143426379556e-05
"ENST00000364805",0.440378976003717,11.8071726744843,2.56449184490005e-05,9.1143426379556e-05
"ENST00000410557",0.898265480448361,4.24695394670854,2.71507948494987e-05,9.58477724217201e-05
"ENST00000384610",0.682209219913005,8.1044943751306,2.83044548311751e-05,9.92542882746541e-05
"ENST00000365382",-0.963970886705031,10.3967976692682,3.02105917528165e-05,0.000105236895774712
"ENST00000384792",0.56106517052797,6.5100828230036,3.21337483533317e-05,0.000111199681801661
"ENST00000384437",0.809036051679017,6.25390135789107,3.26092337646794e-05,0.000112107561831512
"ENST00000364809",1.65729055649186,3.31715953436545,3.54048473024406e-05,0.000120928244682362
"ENST00000461372",1.00790284770164,4.31624897864036,4.75115998241862e-05,0.000161232912951754
"ENST00000391250",-0.530478038546633,8.15834640091166,4.84508766580411e-05,0.000163366417449549
"ENST00000362667",1.80314545185018,3.45750571939119,4.99877847000233e-05,0.000167474998421734
"ENST00000384027",-0.614774602948932,12.5121496052982,5.11928974908338e-05,0.000170426987849232
"ENST00000362912",1.46053135925192,3.68114016119614,5.35267797145034e-05,0.00017707601339515
"ENST00000363618",1.05881570734729,2.83039226035683,6.02311239271483e-05,0.0001980098199105
"ENST00000384532",-0.532136274971736,13.0230964827956,6.2192660050956e-05,0.000203188442154055
"ENST00000408749",0.90240147133173,2.6957093291947,7.59985061159529e-05,0.000246760581586366
"ENST00000383926",-0.661884694064037,13.7977198294652,8.24922803289988e-05,0.00026620208253407
"ENST00000384436",1.25452373904264,3.93079465266795,8.78355458808387e-05,0.000281716445934885
"ENST00000466665",-1.40348393510483,2.80736858703597,9.72839980897003e-05,0.000310129593910196
"ENST00000391232",-0.539221664953406,9.28607068682661,0.000106485156361408,0.000337416820759643
"ENST00000384504",0.596984942117604,4.81620417788932,0.000115607027445288,0.000363973034223465
"ENST00000411292",-0.518770093565218,14.0911382893722,0.000116249942489624,0.000363973034223465
"ENST00000390981",-0.590587671927475,7.7262060067604,0.000133940967371857,0.000416881354068619
"ENST00000363293",1.39718941908858,3.68910874069379,0.000136479496525952,0.000422283618662651
"ENST00000362761",-0.418639680370824,10.5577175315117,0.000218796935892056,0.000673024492860944
"ENST00000408082",1.07666728572019,6.70213579652741,0.000228626465739684,0.000699171633599267
"ENST00000363450",0.672142434714086,6.16438240582443,0.000235158948749745,0.000713954626263249
"ENST00000365073",1.40442203361419,3.81251765979772,0.000236175104505333,0.000713954626263249
"ENST00000362915",0.936081862886179,2.62692711854418,0.000255727196576286,0.000768642887995007
"ENST00000364451",0.543163439320881,7.86494359447381,0.000262330361558369,0.000779144005889434
"ENST00000364432",0.729596497111635,4.3505802037884,0.000263261253896277,0.000779144005889434
"ENST00000459004",0.940260932662435,2.64175780892214,0.000263664701612774,0.000779144005889434
"ENST00000363753",-0.456538647036096,14.4065726627304,0.000266749703719231,0.000781073731140496
"ENST00000497625",1.2042116544025,2.34172099731315,0.000267287588603211,0.000781073731140496
"ENST00000363524",0.94454190786314,3.09185493601245,0.000273993137999624,0.000796245251866311
"ENST00000363266",0.725343566382158,8.00797422218939,0.000319313782427545,0.000922851920642246
"ENST00000411404",0.867835608813324,4.78011064405235,0.000341126550869821,0.000980505823811618
"ENST00000362653",0.68219311685161,8.18063999075638,0.000382766668336926,0.00109421341057186
"ENST00000363367",0.995405810554896,2.1787394528785,0.000386685758991604,0.00109897718561647
"ENST00000384221",-0.733853723996172,2.53516154966119,0.000388651106625394,0.00109897718561647
"ENST00000387069",-0.516663146443848,5.53698837679905,0.000390701014658327,0.00109897718561647
"ENST00000384662",-0.481205283610297,8.92083211500524,0.000411235879181874,0.00115058549175354
"ENST00000363871",0.732677708385996,8.00073269639282,0.000413772331717749,0.00115155685970125
"ENST00000363817",0.903383659715019,2.60027385593017,0.0004229760610007,0.00117097583203352
"ENST00000391305",0.53454041150099,7.2401141649926,0.000443327090525418,0.00122089031212759
"ENST00000484260",0.718789076168197,7.96574329020544,0.000487624843949546,0.00133289821553936
"ENST00000391311",0.737586591363213,3.82979017437659,0.00049113831162698,0.00133289821553936
"ENST00000499525",-0.915611139088353,2.63811271459107,0.000492136673602765,0.00133289821553936
"ENST00000364991",0.718080615327225,7.97195655625214,0.000494135270019345,0.00133289821553936
"ENST00000365387",0.470565936110838,9.8941526638908,0.000503891429276894,0.00135228006020228
"ENST00000384706",-0.504469476081404,8.25669772358609,0.00051367553918952,0.00137153976453648
"ENST00000384675",0.693683766706555,2.94210569017423,0.000532584041585201,0.00141484447411018
"ENST00000362583",1.30039681234244,3.69374692798037,0.000543216264499822,0.00143583796546184
"ENST00000364259",0.652034627431388,3.82678911534949,0.000552540772480904,0.00145318223162478
"ENST00000384583",0.693973162225422,4.11102826166376,0.000561086363473708,0.00146831555814513
"ENST00000363950",0.659075130615146,8.17261256501077,0.00056469272814594,0.0014687825109252
"ENST00000500259",0.620743745452439,4.41836018080376,0.000566849524178358,0.0014687825109252
"ENST00000364315",0.503337144189816,9.76905412083314,0.000575064884658431,0.00148271024979756
"ENST00000363500",0.465563450762306,9.89574337592152,0.000577862359711978,0.00148271024979756
"ENST00000476674",0.911562755358524,3.12892104244266,0.00060502847447021,0.00154487853189966
"ENST00000386747",0.572819309010932,10.2805282236338,0.000642326030985045,0.00163219078404896
"ENST00000365055",0.468170659612932,9.88712210902704,0.000654658387744721,0.00165553034593136
"ENST00000362464",0.462481720508396,9.91406333584057,0.000729468280372476,0.00183588667691829
"ENST00000365651",0.459026237630323,9.90240688287718,0.00073394240321725,0.00183835097186797
"ENST00000363473",0.460600214949318,9.90151601514864,0.000740688963802151,0.00184645684815133
"ENST00000363754",0.451083132330911,9.90475665787597,0.00078861342619448,0.00195665406687876
"ENST00000365656",0.459735491740478,9.89343834764724,0.000864689673168238,0.00212772949663809
"ENST00000364931",0.658138001556007,2.52545894823883,0.000868293685432972,0.00212772949663809
"ENST00000363859",0.589343767485161,10.4021698257841,0.00086969931896804,0.00212772949663809
"ENST00000362467",0.46148330206474,9.89712896003463,0.000889859036856464,0.00216697154345602
"ENST00000363673",0.889760062390866,2.61560294316281,0.000898977713075393,0.00217908883445925
"ENST00000362482",0.453544173606804,9.89945338867772,0.000908470368147648,0.00218128336966605
"ENST00000364718",0.454749808236591,9.89992451177255,0.000912315536969352,0.00218128336966605
"ENST00000362779",-0.47056315341593,13.0922094864819,0.000912323842826103,0.00218128336966605
"ENST00000362400",0.460665720457049,9.89162092409515,0.000961871445202865,0.00228934108677243
"ENST00000364485",0.456953449871573,9.88818664641496,0.000988552714908881,0.00233919530618737
"ENST00000385771",0.870573452205359,2.20433325856987,0.000991712078478677,0.00233919530618737
"ENST00000489195",0.460700858388913,7.22242673689157,0.00100488066068114,0.00235967512284946
"ENST00000362526",0.455188017229042,9.8905665897413,0.00101190030357015,0.00236559804301287
"ENST00000363040",0.455020198627218,9.89238473241466,0.00101640959597799,0.00236562587382489
"ENST00000408376",0.874245560834489,2.78423098153752,0.00103507978582443,0.00238935922080043
"ENST00000408573",-0.426771966264326,13.8052823809945,0.00103569182954847,0.00238935922080043
"ENST00000364784",-0.662708503960298,3.75192234901627,0.0010525837057186,0.00241772501837548
"ENST00000364079",1.3243360059116,3.66648864733295,0.00106093693806088,0.00242631664965228
"ENST00000363511",0.450286599605063,9.89282403728166,0.00107186291034593,0.00244069216814701
"ENST00000482884",0.713123737598804,4.51350748265401,0.0011279663709449,0.0025573720306768
"ENST00000471006",-0.597181736462978,7.94919603319245,0.00114418501957671,0.00258291245912233
"ENST00000459159",0.454055677983391,7.24480413162167,0.00114905231071222,0.00258291245912233
"ENST00000365160",0.680848413377429,3.8325563891983,0.00117422167681483,0.00262825788087064
"ENST00000458797",0.58663725246377,4.44836038350038,0.00119317069225069,0.002659355017474
"ENST00000363284",-0.357559929714278,10.0853724808827,0.00128718698295928,0.00285679473855097
"ENST00000480248",0.666040323975738,7.94323152931169,0.00129494726834694,0.00286194228214492
"ENST00000362755",0.664997535512861,8.00384703287243,0.00130094356911814,0.00286316450776627
"ENST00000365129",0.838900498371949,2.5449738938629,0.00139079745331846,0.00304816441852295
"ENST00000363299",1.08476913248434,3.81317854652451,0.00145413920598931,0.00317376440809285
"ENST00000365237",-0.34976690633466,10.083418429856,0.00151712713437432,0.00329755732512765
"ENST00000384423",0.669882406846281,3.29548924697024,0.00169023680055075,0.00365870188102755
"ENST00000459187",0.491868510113384,4.88093198155712,0.00174886427932455,0.00377009266772424
"ENST00000501074",0.877179865231094,2.1688518998134,0.00176460935414144,0.00378850824603427
"ENST00000384458",0.968248706802361,2.21577093301945,0.00179424371048702,0.00383440234602747
"ENST00000362610",0.561565225583778,8.36369142452836,0.00180056536020682,0.00383440234602747
"ENST00000384205",-0.540015958886858,3.78968791687366,0.00188218087279051,0.0039862008747114
"ENST00000491051",0.548728135269916,3.98142156223373,0.00188700383612764,0.0039862008747114
"ENST00000362567",0.626936000235621,3.40107218797435,0.00212638751531957,0.00447391933223238
"ENST00000485393",0.873012497023682,6.20054904569619,0.00218443058297501,0.00457773102248946
"ENST00000384776",-0.486569125047738,3.89392554212798,0.00238141936437634,0.00497074041929346
"ENST00000363946",0.903319432711509,2.75055568021296,0.00239970774804535,0.00498911571332748
"ENST00000384176",1.03951174263707,2.45229144566587,0.00253319224217337,0.00524590204481571
"ENST00000365668",-0.476260670049351,6.67354187645818,0.00270600281412415,0.00558179404011491
"ENST00000363408",0.892556978995949,2.86394746473242,0.00271850120845145,0.00558567045174008
"ENST00000364816",0.514025744640709,5.50969328444175,0.00283512466098328,0.00580262868356888
"ENST00000410413",0.455309093489212,11.6467385232887,0.00288085249178645,0.00587336593286694
"ENST00000391242",0.501152497498653,5.73070502445513,0.00290213947063021,0.00589392031487063
"ENST00000383898",-0.55452419998111,3.87745817568764,0.0029486444245942,0.00596533448975596
"ENST00000362820",0.550129847161807,8.35006484605771,0.00304134644270529,0.00612930355886199
"ENST00000365493",0.670757235189135,3.89336046623536,0.0030607607027442,0.00614488599100554
"ENST00000362545",0.523932160913987,8.36442013693632,0.00358042298036765,0.0071608459607353
"ENST00000364329",-0.686790921892105,2.80682076145772,0.00360934044202273,0.00719133739584832
"ENST00000384446",0.840128991868043,2.09498666705522,0.00371991617081576,0.00738368266358148
"ENST00000458811",-0.749740955324385,4.41240989677046,0.00374736355705518,0.00741020011658281
"ENST00000384225",-0.48642306716214,4.56565611568671,0.00466938438311028,0.00919886211803747
"ENST00000474870",0.563370786595851,5.11840726159087,0.00503652939874686,0.00988512859604793
"ENST00000364020",0.611931860801302,3.61431987106135,0.00531542064411823,0.0103937221516959
"ENST00000408612",-0.320771913690977,12.1602082055817,0.00545111025260601,0.0106195703439658
"ENST00000411315",0.751851602627739,3.58390440186372,0.00571063988160468,0.0110841202130039
"ENST00000363640",-0.404485052185732,8.34386572770783,0.0058177654333827,0.0112505316836739
"ENST00000471086",0.919917839556785,2.24035603035252,0.00592871310106806,0.0113994346321827
"ENST00000410874",0.558885346894957,4.65687384859385,0.00593810853463511,0.0113994346321827
"ENST00000384696",0.378580494028504,4.57056354193622,0.00598047207483336,0.0114390120413176
"ENST00000363723",1.02621333068649,2.89882454275607,0.00604362696812467,0.0115179267580927
"ENST00000384314",-0.442132142606124,3.89435499953937,0.00706396183870713,0.0134138769933572
"ENST00000384716",-0.460681996764349,3.95081567494162,0.0078937086060863,0.0149355781539618
"ENST00000384346",0.468584347397452,3.43988887107182,0.00793016088994167,0.0149507692763775
"ENST00000491213",0.487684770964003,7.56035932954228,0.00815840523029175,0.0153261469683338
"ENST00000501495",0.366932456082293,10.8651216367258,0.00823094522408049,0.0154073921276382
"ENST00000384765",0.592518190490417,7.91300061467971,0.00900558128764019,0.0167976445294282
"ENST00000384158",0.388121192102794,4.69508465297907,0.00911442245636589,0.016940587321726
"ENST00000364587",0.75894665876972,2.02791421945289,0.00989778284461756,0.0183318090713692
"ENST00000408314",0.380819416752995,7.93640411201478,0.0106209556523871,0.01960218481809
"ENST00000363922",0.987222942823096,2.7467634560966,0.0111343584291096,0.0204778759919988
"ENST00000383870",0.785306294829003,7.65408591350835,0.0114682922200153,0.0210185425356378
"ENST00000362607",0.725580674237347,3.39940244175924,0.0120430629103756,0.0219953162876999
"ENST00000411069",0.778734913380412,5.45200050984709,0.0123445232771714,0.0224678866567203
"ENST00000391162",-0.412553019640243,5.14921894606003,0.0137089029500762,0.0248651136266898
"ENST00000410968",-0.261746435438505,11.8401119750869,0.0148813996722843,0.0268990248371874
"ENST00000500605",-0.259262756312011,11.8388938496386,0.0155477568336759,0.0280072605976491
"ENST00000384627",-0.44554189399835,3.70871310675008,0.0171326986432818,0.0307569948340144
"ENST00000365436",-0.561974071398085,4.26744987801149,0.0187668402968173,0.0335760476058704
"ENST00000384147",-0.575270267830581,14.3699105122843,0.0189578217055635,0.0338027600580556
"ENST00000384033",0.325419896150104,5.09658309090941,0.0193238045924059,0.0343389230256943
"ENST00000362477",0.375069548387956,7.68330985472724,0.0197999425181061,0.0350665648637165
"ENST00000364773",0.71255177749018,2.62795414142629,0.0200597247499486,0.0354074336190368
"ENST00000458893",-0.337726874069632,12.3746477049903,0.0201639982888707,0.0354724518392842
"ENST00000365640",0.429686375847822,5.46590501774315,0.0208011954548145,0.0364714293641082
"ENST00000363688",0.464698102993519,5.42794717644091,0.0222477547794738,0.038753934774856
"ENST00000364009",-0.646150246412579,5.39263112339054,0.0222503579886055,0.038753934774856
"ENST00000384793",-0.364441962761594,3.87692936455236,0.024697871833876,0.0427652032644444
"ENST00000363311",-0.278810081719438,8.61718809898345,0.0247160110121504,0.0427652032644444
"ENST00000384172",-0.409163650566601,3.75899333524816,0.0269416963730171,0.0464633845646131
"ENST00000384284",-0.583666739862249,2.25291846213183,0.0290687189462237,0.0499677979271688
"ENST00000363286",0.277694572261096,11.264171075057,0.0312224449805442,0.053495133745167
